Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-09-24 00:00:00-04:00,21.973215656561944,22.051869687132683,21.765132553304515,21.984167098999023,217655000,0.0,0.0
2021-09-27 00:00:00-04:00,21.614793860062722,21.70340426569089,21.231483878149266,21.565013885498047,245215000,0.0,0.0
2021-09-28 00:00:00-04:00,21.1209676506168,21.325068556326013,20.560435036406435,20.608224868774414,343069000,0.0,0.0
2021-09-29 00:00:00-04:00,20.848174042522803,20.92483604642628,20.377246777573124,20.42702865600586,218394000,0.0,0.0
2021-09-30 00:00:00-04:00,20.676926507135207,20.973620032961403,20.59727740414024,20.625154495239258,221009000,0.0,0.0
2021-10-01 00:00:00-04:00,20.65900727941029,20.767528549150793,20.11440509795195,20.651042938232422,240978000,0.0,0.0
2021-10-04 00:00:00-04:00,20.4140815960762,20.451915057453423,19.469243927312622,19.64546775817871,345635000,0.0,0.0
2021-10-05 00:00:00-04:00,19.86251425727249,20.557453280437706,19.766934576510337,20.361316680908203,279282000,0.0,0.0
2021-10-06 00:00:00-04:00,20.031766035969262,20.62913326033317,19.991940541553486,20.609222412109375,297202000,0.0,0.0
2021-10-07 00:00:00-04:00,20.9995001152683,21.228492893748708,20.880027438567527,20.982576370239258,256919000,0.0,0.0
2021-10-08 00:00:00-04:00,21.00846910302151,21.11300820810894,20.683898444287028,20.739652633666992,151258000,0.0,0.0
2021-10-11 00:00:00-04:00,20.48477154135317,20.970630442278978,20.42105112712711,20.604244232177734,163388000,0.0,0.0
2021-10-12 00:00:00-04:00,20.73666197268602,20.964657828842242,20.437978323976292,20.580350875854492,162134000,0.0,0.0
2021-10-13 00:00:00-04:00,20.826267780379947,20.897952540851815,20.622166840732383,20.84717559814453,180652000,0.0,0.0
2021-10-14 00:00:00-04:00,21.194648710999132,21.659599896985824,21.029376283806112,21.6506404876709,243589000,0.0,0.0
2021-10-15 00:00:00-04:00,21.71435462616983,21.834824285475865,21.56700484536949,21.76612663269043,226994000,0.0,0.0
2021-10-18 00:00:00-04:00,21.653624540532604,22.19324752272249,21.5490835543678,22.124549865722656,189494000,0.0,0.0
2021-10-19 00:00:00-04:00,22.178310762287502,22.280859708119866,21.940360443621927,22.192251205444336,161473000,0.0,0.0
2021-10-20 00:00:00-04:00,22.207184914348492,22.334623846905142,21.88560143025834,22.006071090698242,146276000,0.0,0.0
2021-10-21 00:00:00-04:00,22.000097295285027,22.611405016436052,21.98615875079242,22.592487335205078,187590000,0.0,0.0
2021-10-22 00:00:00-04:00,22.72291561933294,23.02856856064082,22.46206541817937,22.626340866088867,249384000,0.0,0.0
2021-10-25 00:00:00-04:00,22.87225673076628,23.252581526641404,22.67014782202449,23.064411163330078,230235000,0.0,0.0
2021-10-26 00:00:00-04:00,23.88380198609397,25.148233144137606,23.81908649717466,24.60860824584961,485898000,0.0,0.0
2021-10-27 00:00:00-04:00,24.36667273808714,24.979970559191603,24.17551339728853,24.343772888183594,245990000,0.0,0.0
2021-10-28 00:00:00-04:00,24.76890724280116,24.84059201549282,24.41546441615892,24.83163070678711,234204000,0.0,0.0
2021-10-29 00:00:00-04:00,24.89136000637363,25.596255323739626,24.89036493868352,25.454877853393555,292503000,0.0,0.0
2021-11-01 00:00:00-04:00,25.536522381847643,25.78044692731383,25.11637208457716,25.713741302490234,265740000,0.0,0.0
2021-11-02 00:00:00-04:00,25.708761653173653,26.56100677962379,25.6868568702382,26.285221099853516,294112000,0.0,0.0
2021-11-03 00:00:00-04:00,26.55304424185898,26.666544637188032,26.11995237716791,26.481359481811523,239910000,0.0,0.0
2021-11-04 00:00:00-04:00,27.109591491333024,31.227453379184272,26.999078204026905,29.670312881469727,1153631000,0.0,0.0
2021-11-05 00:00:00-04:00,30.054622412775466,31.26230243845938,29.28102933486203,29.621530532836914,851260000,0.0,0.0
2021-11-08 00:00:00-05:00,30.016786509890455,30.963616262925747,29.775847185212836,30.668914794921875,503101000,0.0,0.0
