date,ticker,open_price,high_price,low_price,close_price,volume,daily_price_change,daily_return_pct,daily_range,moving_avg_20,moving_avg_50
2021-09-24 04:00:00+00:00,CVX,81.54954141084465,82.62977591287238,81.54954141084465,82.32698059082031,8225300,,,1.0802345020277215,,
2021-09-27 04:00:00+00:00,CVX,83.95549128218086,84.92934100595122,83.95549128218086,84.26647186279297,12697500,1.9394912719726562,2.3558391891137953,0.973849723770357,,
2021-09-28 04:00:00+00:00,CVX,85.03574785420408,85.83773675467792,84.19283223327396,84.58564758300781,15560800,0.31917572021484375,0.378769530940537,1.6449045214039586,,
2021-09-29 04:00:00+00:00,CVX,84.4628984154714,85.3058078528856,83.75092327490778,84.56110382080078,10268100,-0.02454376220703125,-0.029016461903830226,1.5548845779778162,,
2021-09-30 04:00:00+00:00,CVX,84.63474472057027,84.65929450854814,83.02257537841797,83.02257537841797,15319800,-1.5385284423828125,-1.8194280500916982,1.6367191301301744,,
2021-10-01 04:00:00+00:00,CVX,83.6527238466886,85.5513179718883,83.37447832093602,85.37946319580078,10854900,2.3568878173828125,2.8388517299542837,2.1768396509522745,,
2021-10-04 04:00:00+00:00,CVX,85.92774806095939,86.63153773504092,85.1994086006916,85.6986083984375,13305400,0.31914520263671875,0.37379621596451695,1.4321291343493243,,
2021-10-05 04:00:00+00:00,CVX,86.77885099530126,88.19460957853828,86.27146580577093,86.63154602050781,13017300,0.9329376220703125,1.0886263377029692,1.9231437727673466,,
2021-10-06 04:00:00+00:00,CVX,85.25669847494407,86.21417765342179,84.76568399189817,85.87046813964844,10630100,-0.761077880859375,-0.8785227966256137,1.4484936615236137,,
2021-10-07 04:00:00+00:00,CVX,86.42696037636563,86.99163051478402,86.10780062254352,86.48424530029297,8830900,0.6137771606445312,0.7147709497127286,0.8838298922404988,,
2021-10-08 04:00:00+00:00,CVX,87.40899657785086,88.73474152466089,87.23714179201068,88.42376708984375,10586700,1.9395217895507812,2.242630184048333,1.4975997326502153,,
2021-10-11 04:00:00+00:00,CVX,89.65948213874319,89.7167670650636,87.49901314096061,87.67086791992188,9794800,-0.752899169921875,-0.8514669694595578,2.2177539241029933,,
2021-10-12 04:00:00+00:00,CVX,87.55632290940646,88.0391584913197,86.88526804914689,87.68726348876953,9085000,0.01639556884765625,0.018701273566312793,1.1538904421728091,,
2021-10-13 04:00:00+00:00,CVX,87.37626809059101,88.6610926532039,87.13894925655265,88.21099853515625,9220700,0.5237350463867188,0.59727607585085,1.522143396651245,,
2021-10-14 04:00:00+00:00,CVX,89.10298499163564,89.33213090879728,88.47285088930765,89.04570007324219,7648600,0.8347015380859375,0.9462556279229428,0.8592800194896313,,
2021-10-15 04:00:00+00:00,CVX,89.83132796232779,90.04410320041558,89.55308870324905,89.70039367675781,9968100,0.654693603515625,0.7352332599745104,0.4910144971665318,,
2021-10-18 04:00:00+00:00,CVX,90.19958222486925,90.35507252287996,89.16844753940633,89.65946197509766,10677400,-0.04093170166015625,-0.04563157415747865,1.186624983473635,,
2021-10-19 04:00:00+00:00,CVX,90.15049828739336,91.4107666015625,89.85588832617272,91.4107666015625,10362800,1.7513046264648438,1.9532847820916688,1.5548782753897825,,
