date,ticker,open_price,high_price,low_price,close_price,volume
2021-09-24 04:00:00+00:00,NVDA,21.973215656561944,22.051869687132683,21.765132553304515,21.984167098999023,217655000
2021-09-27 04:00:00+00:00,NVDA,21.61479386006272,21.70340426569089,21.231483878149263,21.565013885498047,245215000
2021-09-28 04:00:00+00:00,NVDA,21.1209676506168,21.325068556326013,20.560435036406435,20.60822486877441,343069000
2021-09-29 04:00:00+00:00,NVDA,20.848174042522803,20.92483604642628,20.377246777573124,20.42702865600586,218394000
2021-09-30 04:00:00+00:00,NVDA,20.676926507135207,20.973620032961403,20.59727740414024,20.625154495239254,221009000
2021-10-01 04:00:00+00:00,NVDA,20.65900727941029,20.767528549150796,20.11440509795195,20.651042938232425,240978000
2021-10-04 04:00:00+00:00,NVDA,20.4140815960762,20.451915057453423,19.469243927312625,19.64546775817871,345635000
2021-10-05 04:00:00+00:00,NVDA,19.86251425727249,20.557453280437706,19.766934576510337,20.361316680908203,279282000
2021-10-06 04:00:00+00:00,NVDA,20.031766035969262,20.62913326033317,19.99194054155349,20.60922241210937,297202000
2021-10-07 04:00:00+00:00,NVDA,20.9995001152683,21.228492893748708,20.880027438567527,20.982576370239254,256919000
2021-10-08 04:00:00+00:00,NVDA,21.00846910302151,21.11300820810894,20.683898444287028,20.739652633666992,151258000
2021-10-11 04:00:00+00:00,NVDA,20.48477154135317,20.970630442278978,20.42105112712711,20.60424423217773,163388000
2021-10-12 04:00:00+00:00,NVDA,20.73666197268602,20.96465782884224,20.43797832397629,20.58035087585449,162134000
2021-10-13 04:00:00+00:00,NVDA,20.826267780379947,20.89795254085181,20.622166840732383,20.84717559814453,180652000
2021-10-14 04:00:00+00:00,NVDA,21.19464871099913,21.659599896985824,21.029376283806112,21.6506404876709,243589000
2021-10-15 04:00:00+00:00,NVDA,21.71435462616983,21.834824285475865,21.56700484536949,21.76612663269043,226994000
2021-10-18 04:00:00+00:00,NVDA,21.653624540532604,22.19324752272249,21.5490835543678,22.124549865722656,189494000
2021-10-19 04:00:00+00:00,NVDA,22.178310762287506,22.280859708119863,21.940360443621927,22.192251205444336,161473000
2021-10-20 04:00:00+00:00,NVDA,22.20718491434849,22.334623846905146,21.88560143025834,22.00607109069824,146276000
2021-10-21 04:00:00+00:00,NVDA,22.000097295285027,22.61140501643605,21.98615875079242,22.59248733520508,187590000
2021-10-22 04:00:00+00:00,NVDA,22.72291561933294,23.02856856064082,22.46206541817937,22.626340866088867,249384000
2021-10-25 04:00:00+00:00,NVDA,22.87225673076628,23.252581526641404,22.67014782202449,23.06441116333008,230235000
2021-10-26 04:00:00+00:00,NVDA,23.88380198609397,25.14823314413761,23.81908649717466,24.60860824584961,485898000
2021-10-27 04:00:00+00:00,NVDA,24.36667273808714,24.979970559191603,24.17551339728853,24.343772888183597,245990000
2021-10-28 04:00:00+00:00,NVDA,24.76890724280116,24.84059201549282,24.41546441615892,24.83163070678711,234204000
2021-10-29 04:00:00+00:00,NVDA,24.89136000637363,25.596255323739623,24.89036493868352,25.454877853393555,292503000
2021-11-01 04:00:00+00:00,NVDA,25.536522381847643,25.78044692731383,25.11637208457716,25.713741302490234,265740000
2021-11-02 04:00:00+00:00,NVDA,25.708761653173653,26.56100677962379,25.6868568702382,26.28522109985352,294112000
2021-11-03 04:00:00+00:00,NVDA,26.55304424185898,26.666544637188032,26.11995237716791,26.481359481811523,239910000
2021-11-04 04:00:00+00:00,NVDA,27.109591491333024,31.227453379184272,26.999078204026905,29.670312881469727,1153631000
2021-11-05 04:00:00+00:00,NVDA,30.054622412775466,31.26230243845938,29.28102933486203,29.621530532836918,851260000
2021-11-08 05:00:00+00:00,NVDA,30.01678650989045,30.963616262925747,29.77584718521284,30.668914794921875,503101000
2021-11-09 05:00:00+00:00,NVDA,32.14043594172841,32.16831303240709,29.832600226347303,30.522560119628903,646746000
2021-11-10 05:00:00+00:00,NVDA,29.227264049962503,30.71471179449416,28.65179777448314,29.329811096191406,636206000
2021-11-11 05:00:00+00:00,NVDA,30.33438617562301,30.45585089909229,29.64641649920661,30.25672721862793,332172000
2021-11-12 05:00:00+00:00,NVDA,29.87839450452663,30.54545636540284,29.50005989144117,30.25672721862793,413054000
2021-11-15 05:00:00+00:00,NVDA,30.418020909460683,30.50961652161908,29.118743398652445,29.89333152770996,384909000
2021-11-16 05:00:00+00:00,NVDA,29.628505270692653,30.256736904694574,29.575736282116683,30.070556640625,264484000
2021-11-17 05:00:00+00:00,NVDA,30.28460270438273,30.375205132582742,28.673698329349342,29.13267707824707,428508000
2021-11-18 05:00:00+00:00,NVDA,32.225063319518526,32.616337669436994,31.183648858814088,31.536096572875977,781711000
2021-11-19 05:00:00+00:00,NVDA,32.10160442864808,32.94290005570085,31.765087317217567,32.84035110473633,533867000
2021-11-22 05:00:00+00:00,NVDA,33.37002012110695,34.495065927789035,31.76011228365292,31.815866470336918,754335000
2021-11-23 05:00:00+00:00,NVDA,31.39671157119762,32.218094514763855,30.744583214227514,31.606786727905277,532163000
2021-11-24 05:00:00+00:00,NVDA,31.32303591080457,32.71092196803006,30.79237231019949,32.53071594238281,435162000
2021-11-26 05:00:00+00:00,NVDA,32.45703857581968,32.56655680344716,31.21252206625317,31.364850997924805,283069000
2021-11-29 05:00:00+00:00,NVDA,32.22406792574834,33.265478577950766,31.895513237231377,33.229637145996094,454964000
2021-11-30 05:00:00+00:00,NVDA,33.02354533082021,33.20674036434526,31.72426963928221,32.53270721435547,622066000
2021-12-01 05:00:00+00:00,NVDA,33.077378025602634,33.14707928825368,31.24621570117578,31.300981521606445,484368000
2021-12-02 05:00:00+00:00,NVDA,31.08091667285877,32.339527421049986,30.8927214145986,31.98902702331543,472890000
2021-12-03 05:00:00+00:00,NVDA,31.863568243842334,31.992019863861056,30.001540138937465,30.56214141845703,544325000
2021-12-06 05:00:00+00:00,NVDA,29.752605337087843,30.11206626895917,27.918459673671148,29.908937454223636,658938000
2021-12-07 05:00:00+00:00,NVDA,30.825023080342124,32.310662878163335,30.52032598088665,32.288753509521484,593053000
2021-12-08 05:00:00+00:00,NVDA,31.862576105811534,32.15233582192908,31.28703933130742,31.6903133392334,475551000
2021-12-09 05:00:00+00:00,NVDA,31.598708004869856,32.067702562935565,30.29827610494739,30.36001205444336,488507000
2021-12-10 05:00:00+00:00,NVDA,31.0171948342388,31.171534691574287,29.73369079232253,30.06925392150879,488825000
2021-12-13 05:00:00+00:00,NVDA,30.12003462160517,30.164842841094565,27.99612729686803,28.040935516357425,598344000
2021-12-14 05:00:00+00:00,NVDA,27.580909846868156,28.555736152702437,27.13382466783278,28.21619033813477,667035000
2021-12-15 05:00:00+00:00,NVDA,28.278921661014024,30.369969093174348,27.7193173668591,30.32914352416992,698297000
2021-12-16 05:00:00+00:00,NVDA,31.01917866728396,31.02714398058523,27.973221209812102,28.265966415405277,707366000
2021-12-17 05:00:00+00:00,NVDA,27.86569352805653,28.79869913534146,27.641652379691788,27.682477951049805,713758000
2021-12-20 05:00:00+00:00,NVDA,27.188587940382853,28.02400974051841,27.02927023764738,27.60082244873047,461847000
2021-12-21 05:00:00+00:00,NVDA,28.25303061151138,28.995850397906604,27.284177433595826,28.95104217529297,524385000
2021-12-22 05:00:00+00:00,NVDA,28.767827479708327,29.428996155845503,28.327710555903725,29.274656295776367,395184000
2021-12-23 05:00:00+00:00,NVDA,29.628141300237917,29.9308460734299,29.305523238717623,29.51363182067871,343022000
2021-12-27 05:00:00+00:00,NVDA,29.53354885530447,30.95446509890773,29.51363366651382,30.81307029724121,403686000
2021-12-28 05:00:00+00:00,NVDA,31.17850318637374,31.19642609485194,29.88404452938225,30.192724227905277,420591000
2021-12-29 05:00:00+00:00,NVDA,30.143934262767104,30.41776144298987,29.240799693853926,29.873092651367188,343139000
2021-12-30 05:00:00+00:00,NVDA,29.699835409860693,30.32715053513794,29.41406024985419,29.459863662719727,308864000
2021-12-31 05:00:00+00:00,NVDA,29.547489426670328,29.901972573947276,29.205951342168785,29.28561019897461,266530000
2022-01-03 05:00:00+00:00,NVDA,29.687889053615017,30.580069009930835,29.658016270092958,29.992584228515625,391547000
2022-01-04 05:00:00+00:00,NVDA,30.14791442477698,30.338100081012925,28.22813495488004,29.165122985839844,527154000
2022-01-05 05:00:00+00:00,NVDA,28.82557789334784,29.290587837147367,27.41561641931234,27.486312866210938,498064000
2022-01-06 05:00:00+00:00,NVDA,27.52216062176416,28.316758809179447,26.94961318289453,28.0578670501709,454186000
2022-01-07 05:00:00+00:00,NVDA,28.02102803259221,28.300830190157978,26.94164788389241,27.13083839416504,409939000
2022-01-10 05:00:00+00:00,NVDA,26.46767363511044,27.35188821186905,25.534668178229204,27.28318214416504,594681000
2022-01-11 05:00:00+00:00,NVDA,27.206510950592097,27.94534808174242,26.72457518291045,27.69840431213379,404089000
2022-01-12 05:00:00+00:00,NVDA,27.947338113635016,28.473086907923104,27.49029538667551,27.87962913513184,383413000
2022-01-13 05:00:00+00:00,NVDA,28.258008185903837,28.358577413604603,26.38502715764647,26.461700439453125,540171000
2022-01-14 05:00:00+00:00,NVDA,26.187875711062546,27.08105283504242,26.098259251810827,26.82713890075684,395832000
2022-01-18 05:00:00+00:00,NVDA,26.14804463261415,26.524433344257982,25.660133902473454,25.79256629943848,424270000
2022-01-19 05:00:00+00:00,NVDA,25.967809303261937,26.429829779331527,24.94518762431059,24.96012306213379,488315000
2022-01-20 05:00:00+00:00,NVDA,25.19612032401024,25.46994751510898,23.97534549383341,24.047039031982425,435181000
2022-01-21 05:00:00+00:00,NVDA,23.40678161092132,24.717171038870585,23.163822382731063,23.274349212646484,718958000
2022-01-24 05:00:00+00:00,NVDA,22.23479683489689,23.280319440924885,20.798945308150216,23.27235412597656,913982000
2022-01-25 05:00:00+00:00,NVDA,22.449878275649777,22.84518699093113,21.90620653004625,22.22882461547852,664616000
2022-01-26 05:00:00+00:00,NVDA,23.140916602745857,23.954432781138927,22.20492373788374,22.67491149902344,755959000
2022-01-27 05:00:00+00:00,NVDA,23.46752162349448,23.89270120895478,21.582590638157097,21.85044479370117,573353000
2022-01-28 05:00:00+00:00,NVDA,21.918155191484143,22.760549101180075,21.20520811526972,22.742626190185547,543774000
2022-01-31 05:00:00+00:00,NVDA,23.08316384030089,24.40450780299976,22.95371892485848,24.38160514831543,564680000
2022-02-01 05:00:00+00:00,NVDA,24.996973791149287,25.03779935981821,23.788148758594023,24.532960891723636,518925000
2022-02-02 05:00:00+00:00,NVDA,25.68403665824547,25.706937420439917,24.448326116222155,25.134389877319336,543419000
2022-02-03 05:00:00+00:00,NVDA,24.35372741378853,24.97008788977148,23.678618459668996,23.84590148925781,410178000
2022-02-04 05:00:00+00:00,NVDA,23.86979983731816,24.529973363145128,23.531249213857308,24.215320587158203,354829000
2022-02-07 05:00:00+00:00,NVDA,24.26809450688,25.074640699200277,24.098819192519745,24.622577667236328,376868000
2022-02-08 05:00:00+00:00,NVDA,24.25515013515638,25.122437111146983,23.877766205134343,25.000957489013672,410359000
2022-02-09 05:00:00+00:00,NVDA,25.51276352295215,26.61106165740913,25.244911267514784,26.59114646911621,524282000
2022-02-10 05:00:00+00:00,NVDA,25.88417582758448,26.81020934447509,25.49085938324337,25.713903427124023,513200000
2022-02-11 05:00:00+00:00,NVDA,25.805514193425385,26.04050812916526,23.6716506697888,23.846899032592773,605472000
2022-02-14 05:00:00+00:00,NVDA,23.831961302784133,24.768949487290516,23.653723589292724,24.16354179382324,440424000
2022-02-15 05:00:00+00:00,NVDA,24.8426335224846,26.431829912184345,24.67833795995591,26.382043838500977,699869000
2022-02-16 05:00:00+00:00,NVDA,26.147049472381745,26.468672364813905,25.44306293139375,26.397974014282227,732676000
2022-02-17 05:00:00+00:00,NVDA,25.52072474834424,25.67506458405284,24.06197257519589,24.40251350402832,810595000
2022-02-18 05:00:00+00:00,NVDA,24.56283323835121,24.879478312587725,23.00151913502133,23.541208267211918,761255000
2022-02-22 05:00:00+00:00,NVDA,22.936795215643546,23.96140763299892,22.901944582346907,23.290281295776367,633422000
2022-02-23 05:00:00+00:00,NVDA,23.70052366890476,24.052019342712317,22.205923511795177,22.29155540466309,566511000
2022-02-24 05:00:00+00:00,NVDA,20.92540860239624,23.698535485921912,20.800941500265942,23.64675712585449,735801000
2022-02-25 05:00:00+00:00,NVDA,23.6198702807105,24.113754059814244,23.28131966006848,24.05401039123535,528866000
2022-02-28 05:00:00+00:00,NVDA,23.88971225617832,24.559843299003468,23.605927486955995,24.281036376953125,477319000
2022-03-01 05:00:00+00:00,NVDA,24.187439989958865,24.27307378481444,23.033380786073455,23.376909255981445,412056000
2022-03-02 05:00:00+00:00,NVDA,23.65874842148552,24.309075054496567,23.31914479926627,24.120847702026367,389642000
2022-03-03 05:00:00+00:00,NVDA,24.162677458354132,24.22641653963305,23.37292450253476,23.61692237854004,365095000
2022-03-04 05:00:00+00:00,NVDA,23.28827180611665,23.58305957593069,22.389963970849852,22.84210586547852,431415000
2022-03-07 05:00:00+00:00,NVDA,22.723592102393823,22.93870935454276,21.242680010670902,21.264589309692383,450821000
